"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Anthrax","Confirmed cases","Reported cases","N","2008","SI","Slovenia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2008","SK","Slovakia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2008","UK","United Kingdom",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","AT","Austria",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","BE","Belgium",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","BG","Bulgaria",2.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","CY","Cyprus",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","CZ","Czechia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","DE","Germany",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","DK","Denmark",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","EE","Estonia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","EL","Greece",1.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","ES","Spain",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","EU27_21","EU (without UK)",4.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","EU27_UK_21","EU (with UK until 2019)",14.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","EUEEA30_21","EU/EEA (without UK)",4.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",14.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","FI","Finland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","FR","France",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","HU","Hungary",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","IE","Ireland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","IS","Iceland",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","IT","Italy",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","LT","Lithuania",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","LU","Luxembourg",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","LV","Latvia",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","MT","Malta",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","NL","Netherlands",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","NO","Norway",0.000000000,""
"Anthrax","Confirmed cases","Reported cases","N","2009","PL","Poland",0.000000000,""
